x,y,is_header,under_pressure,num_defenders,num_teammates,gk_x,gk_y,on_target,placement_y,placement_z,is_goal
111.3,40.6,1,1,8,4,118.6,40.6,0,40.0,0.0,0
112.3,39.0,1,1,10,6,113.6,40.0,1,36.4,1.9,1
93.8,56.8,0,1,9,6,117.4,41.5,1,43.7,0.3,0
91.0,27.5,0,1,7,6,118.5,38.4,0,40.0,0.0,0
112.8,35.7,1,1,9,5,117.5,40.3,0,40.0,0.0,0
101.2,50.1,0,1,3,1,114.9,42.2,1,40.9,0.2,0
109.5,34.8,0,1,3,1,114.6,38.2,1,38.0,2.0,1
116.0,35.3,1,1,8,5,119.4,36.7,1,36.1,1.3,0
87.6,43.1,0,1,10,8,119.0,40.6,0,40.0,0.0,0
90.9,56.6,0,1,8,5,116.6,42.2,0,40.0,0.0,0
107.7,37.8,0,1,6,1,110.9,38.5,1,43.8,0.0,1
114.7,37.5,1,1,10,6,119.0,37.9,0,40.0,0.0,0
93.4,42.2,0,1,7,5,115.9,40.9,0,40.0,0.0,0
109.2,38.3,1,1,10,8,118.4,39.9,1,40.3,2.1,0
116.3,43.4,1,1,9,7,117.6,41.9,0,40.0,0.0,0
106.6,46.9,1,1,8,5,117.3,40.6,0,40.0,0.0,0
116.3,46.7,1,1,9,6,118.4,43.4,0,40.0,0.0,0
108.0,40.0,0,1,0,0,119.0,40.0,1,43.4,1.5,1
109.9,56.2,0,1,5,1,118.4,43.9,1,44.2,1.0,0
92.8,35.5,0,1,9,6,117.6,39.2,0,40.0,0.0,0
91.6,24.8,0,1,9,6,118.1,38.6,0,40.0,0.0,0
105.5,54.5,0,1,8,4,119.4,41.9,1,43.2,2.3,0
111.7,39.3,1,1,10,7,119.2,40.1,0,40.0,0.0,0
108.5,45.0,1,1,7,4,118.4,41.9,0,40.0,0.0,0
111.9,44.7,0,1,7,4,118.8,43.2,1,41.0,2.3,1
112.9,58.5,0,1,4,3,118.5,43.5,0,40.0,0.0,0
108.1,40.1,0,1,0,0,119.0,40.0,1,38.3,0.0,0
112.7,32.9,0,1,5,2,118.0,37.2,1,36.9,1.7,0
85.9,24.5,0,1,10,9,117.6,39.3,0,40.0,0.0,0
104.2,39.3,0,1,10,8,117.5,40.6,0,40.0,0.0,0
97.6,21.6,0,1,9,6,117.7,39.5,0,40.0,0.0,0
114.6,36.1,0,1,7,4,117.3,37.2,1,37.2,0.5,0
97.0,40.0,0,1,8,6,117.4,36.6,0,40.0,0.0,0
112.9,27.5,0,1,8,4,117.6,35.6,0,40.0,0.0,0
107.3,49.4,0,1,7,6,117.0,43.6,0,40.0,0.0,0
111.0,38.8,1,1,6,2,119.3,40.1,1,37.3,2.8,0
115.1,44.4,0,1,6,3,116.3,43.7,1,44.1,1.3,0
95.1,46.7,0,1,10,7,118.9,39.6,0,40.0,0.0,0
96.0,34.2,0,1,9,6,117.9,40.1,1,42.0,0.6,0
107.3,49.0,0,1,8,5,118.8,42.6,0,40.0,0.0,0
103.2,34.7,0,1,9,6,118.8,38.2,0,40.0,0.0,0
107.4,41.4,1,1,6,3,118.6,40.5,0,40.0,0.0,0
107.2,44.6,0,1,4,1,111.1,43.7,1,39.6,0.2,1
118.0,48.2,1,1,5,2,119.1,43.6,0,40.0,0.0,0
109.9,48.1,0,1,5,2,111.8,46.1,1,46.4,1.3,0
95.3,32.9,0,1,9,7,117.9,40.6,0,40.0,0.0,0
114.9,52.7,0,1,7,3,118.5,44.8,0,40.0,0.0,0
89.6,52.0,0,1,6,3,115.6,42.0,1,41.9,1.3,0
114.1,29.0,0,1,7,4,116.7,33.7,1,33.1,0.8,0
115.2,28.6,0,1,8,5,117.6,35.1,0,40.0,0.0,0
93.2,29.5,0,1,7,6,117.4,37.9,0,40.0,0.0,0
96.9,32.3,0,1,8,5,117.1,38.5,0,40.0,0.0,0
107.4,31.3,0,1,7,4,117.0,37.9,0,40.0,0.0,0
113.0,44.5,1,1,9,6,119.2,42.5,0,40.0,0.0,0
109.2,45.5,0,1,10,7,118.8,41.8,0,40.0,0.0,0
113.6,30.5,0,1,6,3,117.1,35.3,0,40.0,0.0,0
103.3,39.8,0,1,7,3,114.5,40.6,1,43.5,0.2,1
93.9,39.3,0,1,6,3,116.5,39.9,1,41.2,0.5,0
93.6,49.7,0,1,8,3,116.2,42.0,0,40.0,0.0,0
116.4,34.2,0,1,6,3,118.8,36.7,1,36.4,1.1,0
117.6,40.3,0,1,5,2,118.8,38.5,1,41.8,1.9,1
94.7,53.1,0,1,7,4,116.3,42.0,1,40.6,0.0,0
88.8,53.2,0,1,8,6,117.5,41.0,0,40.0,0.0,0
102.2,59.1,0,1,7,5,117.7,42.5,1,36.6,2.9,0
97.8,38.0,0,1,9,6,117.4,39.9,0,40.0,0.0,0
115.0,45.6,1,1,8,4,117.8,42.7,0,40.0,0.0,0
112.4,46.9,1,1,10,6,119.2,40.8,0,40.0,0.0,0
111.9,38.9,1,1,8,4,119.7,40.1,0,40.0,0.0,0
108.9,44.3,1,1,10,7,118.5,40.9,1,40.4,1.8,0
109.0,56.2,0,1,9,5,118.0,44.5,0,40.0,0.0,0
118.2,23.1,0,1,7,2,119.5,35.9,1,35.4,0.2,0
99.7,39.1,0,1,8,5,117.3,39.3,0,40.0,0.0,0
108.2,48.0,0,1,8,6,116.8,42.6,0,40.0,0.0,0
100.1,24.5,0,1,9,6,116.8,38.1,0,40.0,0.0,0
107.4,55.8,0,1,4,1,117.8,43.3,0,40.0,0.0,0
108.6,45.2,1,1,9,6,118.0,40.5,0,40.0,0.0,0
106.0,43.8,0,1,8,2,117.7,42.5,0,40.0,0.0,0
83.0,42.5,0,1,10,5,117.5,40.1,0,40.0,0.0,0
98.6,18.5,0,1,8,5,116.6,38.5,0,40.0,0.0,0
104.1,30.1,0,1,7,2,117.9,36.9,1,36.7,2.1,0
102.6,38.8,0,1,4,2,113.6,39.2,0,40.0,0.0,0
110.8,31.3,0,1,6,3,117.5,36.5,1,40.1,0.8,1
112.2,43.9,1,1,9,6,118.7,41.5,0,40.0,0.0,0
113.0,37.6,1,1,9,6,118.5,40.8,1,38.6,1.7,1
107.4,33.0,0,1,7,4,118.4,38.1,1,38.3,1.3,0
93.3,45.1,0,1,10,8,117.6,40.6,0,40.0,0.0,0
113.7,37.7,1,1,10,8,119.4,40.2,0,40.0,0.0,0
110.7,40.7,1,1,9,7,118.5,40.6,0,40.0,0.0,0
112.7,47.3,0,1,10,7,118.1,41.4,0,40.0,0.0,0
110.0,45.1,0,1,9,5,117.3,42.6,1,44.0,1.3,0
87.2,48.7,0,1,10,7,117.5,40.9,0,40.0,0.0,0
117.8,36.5,0,1,7,2,119.4,38.1,1,37.3,1.3,1
94.3,53.4,0,1,10,8,117.6,41.2,0,40.0,0.0,0
99.4,25.5,0,1,2,1,118.0,37.4,1,37.1,0.6,0
87.5,42.4,0,1,10,8,117.9,40.1,0,40.0,0.0,0
93.0,31.2,0,1,8,6,118.9,38.6,0,40.0,0.0,0
110.5,50.6,1,1,10,6,119.6,40.5,0,40.0,0.0,0
96.9,39.6,0,1,9,7,116.0,39.4,1,37.9,1.9,0
99.7,29.6,0,1,9,7,118.9,38.4,0,40.0,0.0,0
94.4,42.8,0,1,9,7,118.7,40.4,1,40.9,0.5,0
105.3,36.8,0,1,9,5,116.6,37.1,0,40.0,0.0,0
108.0,40.0,0,1,0,0,119.0,40.0,1,39.1,0.9,1
93.1,48.2,0,1,7,5,116.3,40.8,0,40.0,0.0,0
108.5,28.3,0,1,9,4,117.5,36.8,0,40.0,0.0,0
93.3,39.0,0,1,8,7,119.0,39.5,1,36.9,0.5,0
97.0,42.2,0,1,8,6,118.7,40.3,0,40.0,0.0,0
101.9,45.1,0,1,9,7,116.7,40.3,0,40.0,0.0,0
100.3,40.5,0,1,7,5,119.0,39.5,1,37.9,0.2,0
114.3,29.9,0,1,7,4,118.7,36.4,0,40.0,0.0,0
111.0,34.3,1,1,8,5,119.1,38.5,0,40.0,0.0,0
108.3,57.9,0,1,6,5,118.0,44.1,1,44.2,3.0,0
103.3,47.4,0,1,9,7,118.6,41.7,0,40.0,0.0,0
107.2,41.0,0,1,8,6,118.0,40.2,0,40.0,0.0,0
114.7,49.4,1,1,6,3,118.6,43.4,0,40.0,0.0,0
103.0,40.0,0,1,7,6,115.0,40.5,1,44.2,0.2,0
106.4,25.8,0,1,4,2,117.9,36.2,0,40.0,0.0,0
